run_id,epochs,lr,batch_size,window_size,hidden_dim,fc_dim,num_layers_lstm,loop_type,c_mse,c_mae,T_PM_mse,T_PM_mae,d50_mse,d50_mae,d90_mse,d90_mae,d10_mse,d10_mae,T_TM_mse,T_TM_mae
1752704269,30,0.0001,64,5,128,64,2,closed,4.048896866066382e-08,0.00015989256684096552,0.010995523168226285,0.07038519459760602,2.35490572938699e-12,1.1560933678341246e-06,3.363173342861848e-12,1.4538813519454806e-06,2.87532481713338e-12,1.293856243332882e-06,0.012734072884692069,0.06234476612552139
1752704269,30,0.0001,64,5,128,64,2,open,3.023212867107583e-07,0.0004041479693888043,0.09356198064631567,0.1863760745102378,1.65382908713846e-10,8.841353430671845e-06,3.622636163669226e-10,1.4568655261240924e-05,3.1187426441475545e-10,1.2016563751956062e-05,0.08453956927558323,0.16736011936631087
1752704376,30,0.0001,64,10,128,64,2,closed,2.984547756503123e-08,0.00011892035916579394,0.016818399461341064,0.0866957106605977,1.7267376188372775e-12,9.73465218699645e-07,2.5202676552663237e-12,1.2154343146272472e-06,1.984513879673325e-12,1.0480171785672633e-06,0.017276830324571252,0.08271408616637749
1752704376,30,0.0001,64,10,128,64,2,open,2.1228011502456963e-07,0.00028344411548081967,0.10898825693738064,0.1880706185401712,2.2836515854924342e-10,9.826333347552253e-06,8.618137334911827e-10,2.044147775490825e-05,1.8516071123856743e-10,9.229897108087379e-06,0.09138670466162928,0.16839219097518085
1752704479,30,0.0001,64,15,128,64,2,closed,2.3961503960470998e-08,9.857957674727115e-05,0.02293519523332798,0.11957449701799536,1.6950552718785933e-12,9.855314025113734e-07,4.0219190409393315e-12,1.6400037044798135e-06,3.446461315521302e-12,1.4899595647399667e-06,0.02732162914997186,0.1342295229684546
1752704479,30,0.0001,64,15,128,64,2,open,3.8935439514648544e-07,0.00032960402596809914,0.11800303666125327,0.20948684824835911,2.6753307721395326e-10,1.032645778363784e-05,7.117611614941579e-10,2.0493692261075187e-05,4.529214803876769e-10,1.4935418280801273e-05,0.11098326444334913,0.21331526432712974
1752704584,30,0.0001,64,20,128,64,2,closed,2.5003130281993667e-08,0.00011392043344336046,0.013345138570359214,0.07078325219259247,2.231351556194541e-12,1.111722386836737e-06,2.4651512474683763e-12,1.186350945630316e-06,2.6942992773534415e-12,1.2125360486671142e-06,0.013474974998769209,0.06251676829959306
1752704584,30,0.0001,64,20,128,64,2,open,2.0088664740119552e-07,0.0002950241001426661,0.09152807496089617,0.1564295610400625,3.6416346556512823e-10,1.1388748118234215e-05,7.413776242342002e-10,1.9306915682453142e-05,4.6356132226870034e-10,1.3981157609140917e-05,0.08014966614566212,0.12532409953817386
1752704687,30,0.0005,64,5,128,64,2,closed,1.1283220042534937e-08,6.830962745168379e-05,0.012733768206663169,0.07913269484640198,9.775207837890746e-13,7.555460247988462e-07,1.392529360630629e-12,9.241412635049841e-07,1.2059415546596642e-12,8.487886270886092e-07,0.01179849598106755,0.06479576545559575
1752704687,30,0.0005,64,5,128,64,2,open,2.021173046040855e-06,0.0006748082979079333,2.0132518921093903,0.6054341855096192,2.1331469533346977e-09,2.778146600730694e-05,7.546162933551702e-10,2.1437875270358048e-05,9.7417177127559e-10,2.2393673947958822e-05,1.9355165674859542,0.5778883855201512
