run_id,loop_type,c_mse,c_mae,T_PM_mse,T_PM_mae,d50_mse,d50_mae,d90_mse,d90_mae,d10_mse,d10_mae,T_TM_mse,T_TM_mae
1752704269,closed,2.7036902273990266e-07,0.0004543670207443999,0.06964467422436064,0.2058809379635434,3.482998435651642e-12,1.4092832240192983e-06,4.0275127352143905e-12,1.5897032036397177e-06,4.034260271527939e-12,1.5404141060031453e-06,0.07630296824591995,0.21751538233293138
1752704269,open,1.4177067477948835e-06,0.0009957724966743965,0.31135809490266303,0.48280470523842095,8.830420585255765e-11,7.518124301235915e-06,1.857115830293604e-10,1.0885878967925032e-05,1.4845736348280512e-10,9.612606461633795e-06,0.32144066051440734,0.49271582871165914
1752704376,closed,2.7533753705959553e-07,0.0004573676791474171,0.10838354199348428,0.26816173934769344,3.0673890371395094e-12,1.328960524773996e-06,4.476551432457358e-12,1.6904818087773078e-06,3.504943346702536e-12,1.4936426403053533e-06,0.10705567918092584,0.2675107884699468
1752704376,open,1.169354373251715e-06,0.0009159772414052765,0.3131075566450935,0.4790027743615479,1.1991180062418874e-10,8.370929235715777e-06,4.0688040404051985e-10,1.526868620143567e-05,1.0244220428072932e-10,7.713446429742124e-06,0.31171359920718544,0.48114290386882186
1752704479,closed,2.0631337017037075e-07,0.000380902255481737,0.11443136191263299,0.2699607787679818,2.535313556898021e-12,1.2440454657561115e-06,3.842235270800721e-12,1.5190630726594692e-06,3.1012345383800615e-12,1.337076578678928e-06,0.11763784274243096,0.2786184408179333
1752704479,open,1.3336793293127378e-06,0.0009981111463015187,0.24573503779594455,0.4225085520130044,9.622108757181784e-11,7.836854869457254e-06,2.7655061065043845e-10,1.3290519934544823e-05,2.300637197232793e-10,1.1611977046539435e-05,0.26124007460638143,0.4360800279825252
1752704584,closed,2.3787592447852033e-07,0.00040626871337833703,0.11356528376255104,0.26552277286347453,4.27259654647127e-12,1.5385557118892755e-06,5.152837940702305e-12,1.7055069510123643e-06,3.95067849163294e-12,1.5238406161072882e-06,0.11684135176865082,0.26849538854065125
1752704584,open,1.3370597947752528e-06,0.0009744164662339028,0.22999040492704376,0.40632671826818456,1.8924088542194118e-10,9.891481039926253e-06,4.6539860311311733e-10,1.6065075466531986e-05,4.071603927314692e-10,1.3988665969888312e-05,0.24002411008296817,0.4157023979415269
1752704687,closed,1.112738968707782e-07,0.00028527855314977834,0.053069835594457423,0.181411309590787,1.2882074761922928e-12,9.247704777146028e-07,2.581327138824814e-12,1.236932960304343e-06,1.6693426737374895e-12,1.0317752365539422e-06,0.05761269335953787,0.18423090132386663
1752704687,open,1.6235748914383856e-06,0.0011064489281035251,0.3269225373080798,0.43528491456241164,3.83021096894928e-10,1.1932320794050253e-05,3.3840067873391127e-10,1.494269224435902e-05,3.569903849537941e-10,1.3351835425308982e-05,0.3471544758448753,0.4504382003786409
1752704791,closed,1.0127511098224298e-07,0.00025951704266476323,0.0832497419580763,0.21894286828288131,6.527725980439561e-13,6.181648738328724e-07,1.8817376688456283e-12,1.0511828533466446e-06,2.777535299676603e-12,1.291063225346489e-06,0.08916327426164003,0.2308030961069736
1752704791,open,5.978837205514256e-06,0.0019034035628892362,2.5118097016964307,1.1078709469422707,3.1597032764546728e-09,3.610188547234649e-05,9.26978331270526e-09,6.44056675969905e-05,3.031678913959948e-10,1.2860891011766903e-05,2.1580916895264965,1.0284912608923151
1752704899,closed,9.991204902676703e-08,0.00026256988430800626,0.08131664052150524,0.22513154193271345,2.0308149799577065e-12,1.1449855050410289e-06,2.5178172867940558e-12,1.2899812297722509e-06,3.3161858275786518e-12,1.5162966165126013e-06,0.08193646451123866,0.22558148796771268
1752704899,open,1.150902330133866e-06,0.0008661084345371276,0.4062059642658536,0.5331598870301176,2.2947528130936886e-10,1.1853018852272143e-05,3.263533328801182e-10,1.4263941123113475e-05,5.243881308362615e-10,1.9007273184085494e-05,0.4085860901197706,0.5340561805042089
1752705004,closed,1.29261796630247e-07,0.00029973323410725013,0.07133071789785837,0.20757579011773455,1.510959050545377e-12,9.267506788663475e-07,3.665940108754846e-12,1.4573730574560095e-06,2.4734415072240983e-12,1.2345574333108004e-06,0.07440568114094827,0.21401477478887218
1752705004,open,1.7358682738340077e-06,0.0010457191099628382,0.292077238269838,0.4592909198071357,7.862304507860345e-10,2.26659436151842e-05,9.083129967303524e-10,2.4970106970936513e-05,1.8340689873578144e-09,3.398783649348128e-05,0.31583477832751145,0.48201760078877104
1752705108,closed,1.3507526337696308e-07,0.00030385745394557594,0.05384492163081263,0.17781173378056636,1.619635465924524e-12,9.557805692123172e-07,1.6677905114392667e-12,9.781232134659266e-07,1.5383214386541971e-12,9.361183351908092e-07,0.06348783514593882,0.1913386569747675
1752705108,open,1.0681791103239838e-06,0.0008559051889310106,0.3230175652137683,0.4799307748492205,1.92839215646433e-10,1.0251704672884313e-05,5.54320109775676e-10,1.9432369751303373e-05,6.745321536662587e-10,2.0761203576372245e-05,0.35980949371298343,0.5076233123544114
1752705214,closed,1.1182023036048516e-07,0.00027618351706891014,0.07838951769530181,0.21068162948760275,2.4521966224044083e-12,1.2280549587616197e-06,2.773815256756834e-12,1.1701652814307054e-06,3.608685030276257e-12,1.3965015618925418e-06,0.08728942104069282,0.2173180116031512
1752705214,open,2.0755001174335764e-06,0.001083936286774888,0.6711353049493495,0.7098147149253148,7.293504812535303e-10,2.448593496882792e-05,4.1825596174132945e-10,1.7057573972969996e-05,2.3176565066906013e-09,4.5868038766940465e-05,0.5833176535520315,0.6676916922665473
1752705319,closed,1.141049727225872e-07,0.00027217121296469046,0.07811792816467651,0.2113497364774527,2.5424763671845175e-12,1.2656671678622035e-06,2.79791935627329e-12,1.3021390743534303e-06,3.577821364262353e-12,1.5173216041453304e-06,0.0876187274484236,0.22135585495676754
1752705319,open,1.7940772374775136e-06,0.001082579923522737,0.3383873398719756,0.47150355225157214,3.9777688444826823e-10,1.541677523767058e-05,4.4117977846891187e-10,1.6457293857687493e-05,1.250729020725833e-09,2.9815177612632875e-05,0.37752142178461806,0.49300004664985636
1752705424,closed,1.0302443850398427e-07,0.00026001929626613137,0.07223397373358748,0.188282425590978,2.1000319399537955e-12,1.091589796906868e-06,2.080742995047262e-12,1.0818080219689779e-06,3.554098942031821e-12,1.3687205523213155e-06,0.07161596928349388,0.18248668515312144
1752705424,open,2.563432994412209e-06,0.0012902061289521572,0.4140946595950038,0.5303597693815245,2.254399316638022e-09,3.338045659184394e-05,9.050602433341559e-10,2.2144275681626443e-05,7.07385169091398e-10,2.024593383644328e-05,0.4160409156706708,0.5179703070616867
1752705532,closed,1.813296285986323e-07,0.00037030710579526144,0.0698525790656264,0.20273696957124682,1.1337785350816525e-12,8.236102616141615e-07,2.3621629948045273e-12,1.2263684239500918e-06,1.5545599404935878e-12,9.638144500261732e-07,0.06804703104631815,0.20722527871206037
1752705532,open,1.5116374718994723e-06,0.0010583193066940185,0.2972519157089213,0.4523046815097336,1.9341538958093906e-10,1.0286332889837941e-05,2.62006148236581e-10,1.3151012775480298e-05,2.4559690730075363e-10,1.1711267911021198e-05,0.3054389218111413,0.46484582048001716
1752705697,closed,1.2736130703830765e-07,0.0003023290555454048,0.10646205399925192,0.26501659552556495,1.915975509780696e-12,1.080026335667335e-06,2.214775295953653e-12,1.1861319846236767e-06,1.9965291331812865e-12,1.116635553463378e-06,0.10634968243267867,0.26697009712120684
1752705697,open,1.1261556978279294e-06,0.0008912364549235348,0.3173803484666526,0.491521963099516,1.260641309708033e-10,8.965947554165465e-06,3.956626664461831e-10,1.576096650216175e-05,2.0241226001472003e-10,1.0589217487827579e-05,0.316694784155908,0.4892210461583195
1752705864,closed,1.6906053190920098e-07,0.0003436107054066718,0.0882820169608776,0.24039284314758189,1.1236159099782531e-12,7.777087096363168e-07,2.423913568986112e-12,1.1925586919229616e-06,1.9986564458950175e-12,1.099173519473089e-06,0.09721742177748856,0.2545005291169805
1752705864,open,1.767855937601117e-06,0.001115333099248406,0.46192813393654153,0.5800794704543868,3.5079769314096455e-10,1.3600550727210352e-05,6.44732101085148e-10,1.9117166629324047e-05,5.051319822642177e-10,1.569832001973751e-05,0.42975326909271994,0.5578663570147949
1752706034,closed,1.6920524983493058e-07,0.0003437169103650877,0.10349227597329806,0.2569861992001494,2.318936730929304e-12,1.132320734190023e-06,2.4174608489660216e-12,1.1592415357342025e-06,1.6924691074506238e-12,1.003511056382012e-06,0.09932359171498713,0.2551007099617793
1752706034,open,2.753357510712643e-06,0.001371241263232201,1.4244628204080512,0.7914332892785209,1.2264037654650638e-09,2.354022879782539e-05,5.106160193380139e-09,4.1388745798478066e-05,3.2698136938563615e-10,1.4475655189285172e-05,1.226943491530807,0.7540780916541284
1752706202,closed,7.714813050288356e-08,0.0002223304976948461,0.04034065953637533,0.1553756229225059,1.0316355992230637e-12,8.06486274134635e-07,1.6877478481088609e-12,1.01284405776229e-06,1.289402864516144e-12,8.698009057022059e-07,0.048189392834151856,0.15971842819751972
1752706202,open,1.1055196459829324e-06,0.0008255419132530958,0.4248392758514505,0.5522969536076636,1.0545729433149165e-10,8.319697530325644e-06,4.642306301928511e-10,1.7864966881263503e-05,1.303268153645629e-10,9.119335415211077e-06,0.45180064544443477,0.5687967340251637
1752706369,closed,8.440731075577388e-08,0.00023579962021912166,0.05542449326228879,0.18183343023078774,1.1021594371864738e-12,7.772448464480619e-07,1.805255083805733e-12,9.84317498091036e-07,1.3110426536451185e-12,8.752052219639579e-07,0.0775701985492337,0.20093796561060492
1752706369,open,2.0077567593159933e-06,0.0012454548743235918,0.3347708288612442,0.4428617793160167,5.177252332667839e-10,1.5216242846433063e-05,5.644310612382514e-10,1.7729780880095512e-05,1.0388474358816962e-09,1.9412158584836692e-05,0.34935800237157577,0.4604774441692199
1752706536,closed,6.865794603898844e-08,0.00022005649825235102,0.05597694114682336,0.19029501009212765,1.2037530759261696e-12,7.883261235753445e-07,1.9386935397038064e-12,1.0233213503733882e-06,1.2747549368675633e-12,9.279359528101539e-07,0.05590853077512545,0.16936910656433535
1752706536,open,3.0091652437053054e-06,0.001411993680912723,0.479662371658353,0.5486449822007253,1.8683971170554834e-09,2.666885171962541e-05,1.3363739503253771e-09,2.3623047116864325e-05,3.4712768403571543e-09,3.883766348428191e-05,0.5656650238098169,0.6016102341244536
1752706703,closed,7.954481531893069e-08,0.00024533525000413757,0.04418782917103283,0.15713450711261717,9.458231470472767e-13,7.549556902048074e-07,2.5483658920512572e-12,1.0903039921696394e-06,1.0774611482368197e-12,7.935088149987053e-07,0.05900787972150276,0.1730079724878216
1752706703,open,7.840378741740855e-06,0.002154682957979857,10.714734300828324,2.6190249705469237,1.2794959673927765e-08,9.500199160407424e-05,2.3323768114394076e-08,0.0001309431405259327,5.676162869678721e-10,1.9880124420982363e-05,10.065863640986077,2.5444758878638303
1752706873,closed,1.066750989908834e-07,0.0002813809221459125,0.044116631432896077,0.1589475327680551,1.708851453326724e-12,1.016668187996797e-06,2.4649089418667883e-12,1.182142687446628e-06,1.5486546311557983e-12,9.627606149837083e-07,0.0535976377613463,0.16737899048819369
1752706873,open,1.987182726339059e-06,0.0011077860334555807,0.37348103777360936,0.5253193611419315,4.280357855681601e-10,1.6557279323838027e-05,5.115433987916768e-09,6.047144187547573e-05,6.938041913403453e-10,2.0972227093989106e-05,0.3538462628289978,0.5086943409721485
